dates,BTC,ETH,LTC,account_val,valueof_intial_holding,error,ifusd_BTC,ifusd_ETH,ifusd_LTC,ifusd_account_val,ifusd_cash_val,ifusd_crypto_val
2018-01-01,0.267,0.733,0.0,1000,1000,1,0.267,0.733,0.0,1000,0,1000
2018-01-04,0.763,0.237,0.0,1239,1214,1,0.763,0.237,0.0,1239,0,1239
2018-01-07,0.412,0.588,0.0,1381,1351,1,0.412,0.588,0.0,1381,0,1381
2018-01-10,0.384,0.616,0.0,1486,1473,0,0.384,0.616,0.0,1486,334,1152
2018-01-13,0.334,0.666,0.0,1496,1485,1,0.335,0.665,0.0,1494,144,1350
2018-01-16,0.403,0.597,0.0,1232,1221,0,0.404,0.596,0.0,1256,391,864
2018-01-19,0.657,0.343,0.0,1205,1195,0,0.598,0.402,0.0,1236,59,1177
2018-01-22,0.315,0.685,0.0,1143,1134,1,0.316,0.684,0.0,1176,9,1167
2018-01-25,0.259,0.741,0.0,1199,1190,1,0.259,0.741,0.0,1234,1,1232
2018-01-28,0.297,0.703,0.0,1296,1283,0,0.298,0.702,0.0,1333,302,1030
2018-01-31,0.321,0.679,0.0,1166,1156,1,0.322,0.678,0.0,1229,511,718
2018-02-03,0.36,0.64,0.0,1016,1006,1,0.36,0.64,0.0,1137,650,486
2018-02-06,0.256,0.744,0.0,775,764,0,0.315,0.685,0.0,1022,89,932
2018-02-09,0.344,0.656,0.0,931,917,0,0.389,0.611,0.0,1208,336,872
2018-02-12,0.709,0.291,0.0,951,935,0,0.649,0.351,0.0,1228,45,1182
2018-02-15,0.827,0.173,0.0,1080,1043,1,0.815,0.185,0.0,1385,6,1378
2018-02-18,0.85,0.15,0.0,1166,1086,1,0.845,0.155,0.0,1493,2,1490
2018-02-21,0.783,0.217,0.0,1155,1019,0,0.779,0.221,0.0,1479,330,1148
2018-02-24,0.344,0.656,0.0,1083,980,0,0.409,0.591,0.0,1407,60,1346
2018-02-27,0.661,0.339,0.0,1131,1023,0,0.683,0.317,0.0,1468,22,1445
2018-03-02,0.782,0.218,0.0,1160,1026,1,0.79,0.21,0.0,1508,9,1498
2018-03-05,0.718,0.282,0.0,1204,1040,0,0.725,0.275,0.0,1564,357,1207
2018-03-08,0.697,0.303,0.0,1006,877,1,0.701,0.299,0.0,1366,582,783
2018-03-11,0.679,0.321,0.0,964,843,1,0.681,0.319,0.0,1334,925,408
2018-03-14,0.656,0.344,0.0,902,780,1,0.658,0.342,0.0,1307,1009,298
2018-03-17,0.782,0.218,0.0,833,716,1,0.762,0.238,0.0,1285,430,854
2018-03-20,0.37,0.63,0.0,871,700,1,0.467,0.533,0.0,1321,66,1254
2018-03-23,0.441,0.559,0.0,851,684,0,0.517,0.483,0.0,1294,334,960
2018-03-26,0.48,0.52,0.0,805,647,1,0.54,0.46,0.0,1243,532,711
2018-03-29,0.522,0.478,0.0,702,559,1,0.569,0.431,0.0,1155,668,486
2018-04-01,0.766,0.234,0.0,639,510,0,0.675,0.325,0.0,1111,95,1016
2018-04-04,0.73,0.27,0.0,668,531,0,0.66,0.34,0.0,1157,325,831
2018-04-07,0.589,0.411,0.0,647,515,0,0.596,0.404,0.0,1130,46,1084
2018-04-10,0.307,0.693,0.0,659,531,1,0.316,0.684,0.0,1150,6,1143
2018-04-13,0.632,0.368,0.0,808,648,1,0.632,0.368,0.0,1408,0,1407
2018-04-16,0.631,0.369,0.0,828,665,0,0.631,0.369,0.0,1442,314,1127
2018-04-19,0.311,0.689,0.0,845,687,0,0.36,0.64,0.0,1466,44,1421
2018-04-22,0.257,0.743,0.0,945,766,1,0.266,0.734,0.0,1630,6,1624
2018-04-25,0.288,0.712,0.0,992,803,1,0.29,0.71,0.0,1711,0,1710
2018-04-28,0.464,0.536,0.0,1007,814,1,0.465,0.535,0.0,1737,0,1737
2018-05-01,0.285,0.715,0.0,989,798,1,0.285,0.715,0.0,1705,0,1705
2018-05-04,0.235,0.765,0.0,1148,920,1,0.235,0.765,0.0,1980,0,1980
2018-05-07,0.315,0.685,0.0,1097,881,0,0.315,0.685,0.0,1892,405,1486
2018-05-10,0.341,0.659,0.0,1091,876,1,0.341,0.659,0.0,1884,721,1163
2018-05-13,0.343,0.657,0.0,1028,826,0,0.341,0.659,0.0,1817,106,1710
2018-05-16,0.389,0.611,0.0,1008,810,0,0.388,0.612,0.0,1783,468,1314
2018-05-19,0.697,0.303,0.0,1005,808,0,0.637,0.363,0.0,1780,69,1710
2018-05-22,0.647,0.353,0.0,986,785,0,0.6,0.4,0.0,1745,430,1314
2018-05-25,0.637,0.363,0.0,893,703,1,0.601,0.399,0.0,1619,684,935
2018-05-28,0.744,0.256,0.0,847,655,0,0.699,0.301,0.0,1569,104,1465
2018-05-31,0.321,0.679,0.0,878,684,1,0.331,0.669,0.0,1623,15,1607
2018-06-03,0.369,0.631,0.0,928,723,0,0.377,0.623,0.0,1714,378,1335
